job_id,skill_id,skill_name
KAGGLE_00116,2,Deep Learning
KAGGLE_00116,13,Machine Learning
KAGGLE_00116,20,Python
KAGGLE_00117,13,Machine Learning
KAGGLE_00118,13,Machine Learning
KAGGLE_00119,13,Machine Learning
KAGGLE_00120,13,Machine Learning
KAGGLE_00121,13,Machine Learning
KAGGLE_00122,13,Machine Learning
KAGGLE_00123,13,Machine Learning
KAGGLE_00124,13,Machine Learning
KAGGLE_00124,29,Statistics
KAGGLE_00126,2,Deep Learning
KAGGLE_00126,13,Machine Learning
KAGGLE_00126,20,Python
KAGGLE_00127,13,Machine Learning
KAGGLE_00128,13,Machine Learning
KAGGLE_00128,20,Python
KAGGLE_00129,13,Machine Learning
KAGGLE_00129,14,NLP
KAGGLE_00130,13,Machine Learning
KAGGLE_00131,13,Machine Learning
KAGGLE_00132,2,Deep Learning
KAGGLE_00132,13,Machine Learning
KAGGLE_00133,13,Machine Learning
KAGGLE_00136,13,Machine Learning
KAGGLE_00137,13,Machine Learning
KAGGLE_00138,2,Deep Learning
KAGGLE_00139,13,Machine Learning
KAGGLE_00140,13,Machine Learning
KAGGLE_00143,13,Machine Learning
KAGGLE_00144,13,Machine Learning
KAGGLE_00144,14,NLP
KAGGLE_00145,13,Machine Learning
KAGGLE_00146,13,Machine Learning
KAGGLE_00146,20,Python
KAGGLE_00147,13,Machine Learning
KAGGLE_00149,2,Deep Learning
KAGGLE_00149,13,Machine Learning
KAGGLE_00150,26,SQL
KAGGLE_00153,13,Machine Learning
KAGGLE_00154,13,Machine Learning
KAGGLE_00155,13,Machine Learning
KAGGLE_00157,13,Machine Learning
KAGGLE_00158,2,Deep Learning
KAGGLE_00158,13,Machine Learning
KAGGLE_00158,20,Python
KAGGLE_00159,13,Machine Learning
KAGGLE_00162,13,Machine Learning
KAGGLE_00163,13,Machine Learning
KAGGLE_00163,20,Python
KAGGLE_00163,26,SQL
KAGGLE_00164,13,Machine Learning
KAGGLE_00164,29,Statistics
KAGGLE_00165,13,Machine Learning
KAGGLE_00166,2,Deep Learning
KAGGLE_00166,13,Machine Learning
KAGGLE_00167,13,Machine Learning
KAGGLE_00168,13,Machine Learning
KAGGLE_00171,2,Deep Learning
KAGGLE_00172,2,Deep Learning
KAGGLE_00172,13,Machine Learning
KAGGLE_00174,13,Machine Learning
KAGGLE_00176,13,Machine Learning
KAGGLE_00177,13,Machine Learning
KAGGLE_00178,13,Machine Learning
KAGGLE_00179,2,Deep Learning
KAGGLE_00179,13,Machine Learning
KAGGLE_00180,13,Machine Learning
KAGGLE_00181,13,Machine Learning
KAGGLE_00182,4,Excel
KAGGLE_00182,13,Machine Learning
KAGGLE_00183,13,Machine Learning
KAGGLE_00184,13,Machine Learning
KAGGLE_00184,14,NLP
KAGGLE_00184,20,Python
KAGGLE_00185,13,Machine Learning
KAGGLE_00186,13,Machine Learning
KAGGLE_00187,13,Machine Learning
KAGGLE_00188,13,Machine Learning
KAGGLE_00188,29,Statistics
KAGGLE_00189,13,Machine Learning
KAGGLE_00190,13,Machine Learning
KAGGLE_00191,13,Machine Learning
KAGGLE_00192,13,Machine Learning
KAGGLE_00192,29,Statistics
KAGGLE_00194,13,Machine Learning
KAGGLE_00195,13,Machine Learning
KAGGLE_00197,13,Machine Learning
KAGGLE_00198,13,Machine Learning
KAGGLE_00200,13,Machine Learning
KAGGLE_00201,13,Machine Learning
KAGGLE_00203,13,Machine Learning
KAGGLE_00203,29,Statistics
KAGGLE_00204,13,Machine Learning
KAGGLE_00204,29,Statistics
KAGGLE_00205,13,Machine Learning
KAGGLE_00206,13,Machine Learning
KAGGLE_00207,13,Machine Learning
KAGGLE_00208,2,Deep Learning
KAGGLE_00208,13,Machine Learning
KAGGLE_00208,29,Statistics
KAGGLE_00209,2,Deep Learning
KAGGLE_00209,13,Machine Learning
KAGGLE_00211,13,Machine Learning
KAGGLE_00213,13,Machine Learning
KAGGLE_00214,13,Machine Learning
KAGGLE_00214,15,NumPy
KAGGLE_00214,16,Pandas
KAGGLE_00214,29,Statistics
KAGGLE_00217,20,Python
KAGGLE_00220,13,Machine Learning
KAGGLE_00221,2,Deep Learning
KAGGLE_00221,13,Machine Learning
KAGGLE_00223,13,Machine Learning
KAGGLE_00224,2,Deep Learning
KAGGLE_00224,13,Machine Learning
KAGGLE_00225,17,Power BI
KAGGLE_00225,21,Qlik
